task_id,success,is_correct,accuracy,execution_time,transformations,action_used,grid_size,train_examples,test_examples,error
task_blob_color_change,True,True,1.0000,7.21,color_change|color_change,color_change,8x8,2,1,
task_blob_reflection,True,True,1.0000,4.86,reflection|rotation|reflection|rotation,reflect,8x8,2,1,
task_blob_rotation,True,True,1.0000,4.97,rotation|rotation,rotate,8x8,2,1,
task_blob_translation,True,True,1.0000,6.35,translation|translation,translate,10x10,2,1,
task_challenge_multi_transform,True,True,1.0000,13.29,,,10x12,2,1,
task_color_change,True,True,1.0000,7.52,color_change|rotation|color_change|rotation,color_change,8x8,2,1,
task_draw_line,True,True,1.0000,8.98,draw_line|draw_line|draw_line,draw_line,10x10,3,1,
task_l_shape,True,True,1.0000,6.31,translation|translation,translate,10x10,2,1,
task_multi_objects,True,True,1.0000,11.69,,,8x8,2,1,
task_multi_objects_same_transform,True,True,1.0000,19.18,,,10x10,2,1,
task_reflection,True,False,0.6667,5.15,reflection|reflection,reflect,6x6,2,1,
task_rotation_90,True,False,0.8776,4.17,rotation|rotation,translate,7x7,2,1,
